期間,總計,關稅,礦區稅,所得稅,所得稅-營利事業所得稅,所得稅-綜合所得稅,遺產稅,贈與稅,貨物稅,證券交易稅,期貨交易稅,營業稅,印花稅,使用牌照稅,土地稅,土地稅-田賦,土地稅-地價稅,土地稅-土地增值稅,房屋稅,娛樂稅,契稅,教育臨時捐,公賣利益(應繳庫數),菸酒稅,金融保險業營業稅,健康福利捐,特種貨物稅及勞務稅
2006M07,"93,533.150","6,770.869",-,"2,304.531","1,754.320",550.211,"2,022.844",321.536,"13,442.875","5,760.709",304.782,"42,917.446","1,174.727",655.210,"6,219.731",-,204.399,"6,015.332",510.138,157.316,"1,127.585",0.702,-,"4,058.492","4,200.493","1,583.164",-
2006M08,"86,475.110","6,816.141",-,"44,529.369","7,125.758","37,403.611","2,202.077",539.873,"13,209.128","6,343.929",322.883,"-3,129.528",452.045,646.753,"6,975.664",-,459.279,"6,516.385",468.274,193.285,"1,072.295",2.476,-,"4,063.447",269.210,"1,497.789",-
2006M09,"170,913.400","6,471.553",-,"79,183.546","47,702.024","31,481.522","1,953.633",240.529,"11,869.428","5,954.844",327.493,"43,688.539","1,101.532",444.761,"6,665.844",-,474.554,"6,191.290",427.699,169.475,"1,194.625",0.568,-,"4,948.030","3,989.077","2,282.224",-
2006M10,"114,490.067","6,553.959",-,"73,769.770","68,798.785","4,970.985","1,683.166",359.594,"12,339.989","6,582.753",264.792,"-2,793.215",362.382,780.714,"6,957.665",-,925.820,"6,031.845",355.980,157.986,"1,097.893",0.418,-,"4,361.918",245.166,"1,409.137",-
2006M11,"148,037.589","6,381.419",-,"19,891.200","3,088.782","16,802.418","1,330.753",352.126,"12,812.950","8,238.778",289.456,"44,665.724","1,058.465",510.999,"40,868.989",-,"33,034.862","7,834.127",389.227,169.429,"1,236.928",0.422,-,"4,222.923","3,989.756","1,628.045",-
2006M12,"88,389.469","6,226.929",0.158,"23,856.705","7,084.405","16,772.300","2,960.189",411.623,"13,590.080","9,413.645",362.075,"-1,938.086",421.372,238.535,"24,458.479",-,"16,843.366","7,615.113",447.194,157.211,"1,378.624",0.490,-,"4,428.996",139.915,"1,835.335",-
2007M01,"107,018.618","6,838.158",-,"19,758.867",-318.464,"20,077.331","2,101.971",509.913,"9,187.406","10,479.389",382.877,"36,669.336","1,067.407",881.175,"7,727.422",-,675.569,"7,051.853",268.708,157.118,"1,364.485",0.143,-,"3,874.070","4,321.155","1,429.018",-
2007M02,"36,090.713","5,495.880",-,"18,510.215",89.521,"18,420.694","1,174.751",381.622,"10,420.576","4,410.191",198.137,"-18,168.708",298.274,695.946,"6,253.064",-,300.267,"5,952.797",148.187,131.221,803.893,0.364,-,"3,655.266",192.279,"1,489.555",-
2007M03,"149,453.321","6,802.719",-,"34,755.806","3,640.769","31,115.037","1,478.803",560.540,"15,808.001","10,100.866",401.930,"55,403.595",965.249,"1,609.348","9,167.485",-,985.429,"8,182.056",210.485,168.024,"1,286.628",0.084,-,"4,678.215","4,195.397","1,860.146",-
2007M04,"99,615.913","6,862.125",-,"20,884.159","3,722.559","17,161.600","1,685.541",555.392,"13,099.463","8,872.219",345.339,731.335,308.732,"32,280.914","5,983.022",-,383.171,"5,599.851","1,003.392",131.866,"1,119.447",0.145,-,"3,907.902",134.366,"1,710.554",-
2007M05,"284,202.150","7,090.018",-,"146,361.049","116,043.331","30,317.718","2,087.420",385.139,"9,633.878","8,352.496",368.260,"42,045.237","1,127.310","13,632.092","6,785.483",-,319.896,"6,465.587","35,010.491",152.569,"1,289.754",0.534,-,"4,026.846","4,325.191","1,528.383",-
2007M06,"283,702.571","6,408.731",-,"221,383.350","106,841.683","114,541.667","1,633.745",508.279,"16,159.369","11,690.968",442.495,"-5,330.615",390.182,848.110,"7,573.168",-,312.078,"7,261.090","14,692.337",156.748,"1,080.163",0.286,-,"4,215.183",215.070,"1,635.002",-
2007M07,"109,893.599","7,156.582",-,118.937,"1,792.459","-1,673.522","1,144.960",568.376,"12,497.888","19,126.971",739.341,"47,531.663","1,153.387",661.729,"6,653.260",-,403.688,"6,249.572",667.670,146.300,"1,199.550",0.271,-,"4,446.654","4,207.345","1,872.715",-
2007M08,"97,964.669","7,099.262",-,"43,036.496","7,304.438","35,732.058","1,562.030",416.787,"16,084.814","14,852.294",749.312,"-1,637.403",414.676,729.359,"6,460.466",-,296.637,"6,163.829",563.010,171.014,"1,110.719",1.407,-,"4,549.991",270.281,"1,530.154",-
2007M09,"185,065.505","6,152.690",-,"96,125.789","62,973.687","33,152.102","2,064.739",319.445,"9,352.584","9,392.973",387.946,"42,670.660","1,213.900",368.679,"4,921.841",-,237.977,"4,683.864",384.024,148.657,933.623,0.197,-,"4,184.799","4,613.999","1,828.960",-
2007M10,"128,202.855","7,126.920",-,"77,785.176","66,007.420","11,777.756","2,287.690",334.171,"14,466.969","12,611.270",503.399,"-2,635.667",324.473,684.607,"7,197.595",-,"1,135.907","6,061.688",340.958,159.396,"1,088.399",0.201,-,"4,081.105",393.156,"1,453.037",-
2007M11,"161,359.053","7,381.066",-,"24,968.344","6,310.125","18,658.219","2,372.299",411.735,"11,056.690","10,713.067",660.207,"47,293.324","1,145.708",625.787,"42,227.742",-,"37,577.817","4,649.925",281.294,142.622,"1,152.421",0.544,-,"4,500.249","4,574.716","1,851.238",-
