期間,總件數_原始值,總件數_年增率(%),室外集會_原始值,室外集會_年增率(%),室外遊行_原始值,室外遊行_年增率(%),室內集會_原始值,室內集會_年增率(%),申請核准_原始值,申請核准_年增率(%),申請不核准_原始值,申請不核准_年增率(%),未申請_原始值,未申請_年增率(%),政治性_原始值,政治性_年增率(%),社會性_原始值,社會性_年增率(%),經濟性_原始值,經濟性_年增率(%),涉外性_原始值,涉外性_年增率(%),其他活動性質_原始值,其他活動性質_年增率(%),使用警力(人次)_原始值,使用警力(人次)_年增率(%)
2011M07,227,52.35,192,56.10,35,34.62,-,--,157,65.26,0,--,70,29.63,150,66.67,51,10.87,3,0.00,2,100.00,21,133.33,"10,461",22.77
2011M08,244,2.52,198,-11.61,46,228.57,-,--,151,-2.58,0,-100.00,93,16.25,138,-13.75,66,0.00,5,150.00,1,--,34,240.00,"12,474",-31.54
2011M09,298,-20.11,251,-23.71,47,6.82,-,--,224,-29.11,0,-100.00,74,32.14,221,-26.58,52,-10.34,6,0.00,2,--,17,112.50,"15,116",-15.08
2011M10,555,-68.57,487,-68.48,68,-69.23,-,--,462,-72.90,1,0.00,92,53.33,444,-73.12,64,-28.89,31,933.33,3,50.00,13,-31.58,"34,131",-51.31
2011M11,898,-71.46,792,-63.13,106,-89.39,-,--,800,-73.98,1,0.00,97,34.72,796,-73.71,59,-42.72,31,342.86,1,--,11,22.22,"55,769",-57.11
2011M12,"2,042",854.21,"1,519",778.03,523,"1,175.61",-,--,"1,948","1,117.50",2,--,92,70.37,"1,913","1,639.09",67,13.56,34,240.00,1,0.00,27,-20.59,"97,973",715.97
2012M01,"1,503",778.95,698,359.21,805,"4,136.84",-,--,"1,415","1,079.17",10,--,78,52.94,"1,435","1,568.60",36,-45.45,24,200.00,0,--,8,-27.27,"109,751",980.76
2012M02,126,-5.97,115,0.00,11,-42.11,-,--,77,-13.48,0,--,49,8.89,65,-32.99,50,117.39,5,66.67,0,--,6,-45.45,"4,695",-45.54
2012M03,184,-8.46,166,16.08,18,-68.97,-,--,96,-36.84,0,--,88,79.59,100,-32.43,62,47.62,11,266.67,2,0.00,9,50.00,"11,197",21.93
2012M04,208,11.83,184,16.46,24,-14.29,-,--,107,-0.93,2,0.00,99,30.26,109,9.00,83,38.33,7,-22.22,0,-100.00,9,-43.75,"8,591",-14.47
2012M05,282,64.91,252,81.29,30,-6.25,-,--,142,51.06,9,800.00,131,72.37,160,88.24,99,90.38,5,-61.54,2,--,16,-23.81,"22,075",88.35
2012M06,204,19.30,195,36.36,9,-67.86,-,--,93,-7.00,4,300.00,107,52.86,107,15.05,81,84.09,7,75.00,0,--,9,-70.00,"9,596",37.70
