期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%)
2008M10,91,2.25,"21,308",1.63,70.08,-,"3,195","43,952,864.11",60,1.69,"17,753",1.28,72.03,-,"3,354","37,875,139.12",31,3.33,"3,555",3.40,60.39,-,"2,248","6,228,670.51"
2008M11,92,3.37,"21,771",3.84,68.58,-,"3,125","45,454,968.32",61,3.39,"18,092",3.22,70.68,-,"3,271","38,820,647.64",31,3.33,"3,679",7.01,58.08,-,"2,234","6,660,510.54"
2008M12,92,2.22,"21,771",2.83,61.28,-,"2,961","44,739,722.95",61,1.67,"18,092",2.02,62.81,-,"3,100","38,152,742.12",31,3.33,"3,679",7.01,53.59,-,"2,141","6,563,804.12"
2009M01,94,4.44,"22,075",4.27,52.20,-,"3,413",8.43,63,5.00,"18,396",3.74,53.44,-,"3,573",8.35,31,3.33,"3,679",7.01,45.72,-,"2,438",7.70
2009M02,93,3.33,"21,966",3.76,57.39,-,"2,970",-9.45,63,5.00,"18,396",3.74,58.60,-,"3,089",-10.10,30,0.00,"3,570",3.84,50.64,-,"2,206",-5.80
2009M03,93,3.33,"21,966",3.76,65.06,-,"2,962",-9.98,63,5.00,"18,396",3.74,66.41,-,"3,069",-11.51,30,0.00,"3,570",3.84,57.59,-,"2,277",0.27
2009M04,94,4.44,"22,073",4.82,69.61,-,"2,847",-13.43,63,6.78,"18,396",5.09,70.59,-,"2,974",-14.59,31,0.00,"3,677",3.46,64.40,-,"2,101",-6.81
2009M05,94,4.44,"22,020",4.56,62.61,-,"2,941",-7.33,63,6.78,"18,348",4.82,63.72,-,"3,073",-8.90,31,0.00,"3,672",3.32,56.84,-,"2,175",1.36
2009M06,94,4.44,"22,020",4.60,56.56,-,"3,145",-8.51,63,6.78,"18,348",4.86,57.45,-,"3,310",-9.38,31,0.00,"3,672",3.32,52.10,-,"2,238",-1.06
2009M07,94,4.44,"22,020",4.60,62.31,-,"3,110",-5.27,63,6.78,"18,348",4.86,63.64,-,"3,276",-5.44,31,0.00,"3,672",3.29,55.74,-,"2,172",-3.49
2009M08,95,5.56,"22,148",5.21,62.36,-,"2,981",-7.46,63,6.78,"18,348",4.86,63.74,-,"3,131",-7.88,32,3.23,"3,800",6.89,55.54,-,"2,133",-4.90
2009M09,94,4.44,"22,098",4.94,59.97,-,"3,087",-2.50,63,6.78,"18,348",4.83,61.38,-,"3,244",-3.01,31,0.00,"3,750",5.49,53.23,-,"2,226",2.93
2009M10,95,4.40,"22,459",5.40,61.41,-,"3,092",-3.21,64,6.67,"18,709",5.39,62.88,-,"3,250",-3.11,31,0.00,"3,750",5.49,54.30,-,"2,212",-1.63
2009M11,95,3.26,"22,459",3.16,72.18,-,"2,932",-6.18,64,4.92,"18,709",3.41,74.13,-,"3,066",-6.28,31,0.00,"3,750",1.93,62.65,-,"2,158",-3.41
2009M12,95,3.26,"22,395",2.87,68.48,-,"2,856",-3.55,64,4.92,"18,645",3.06,70.19,-,"2,977",-3.95,31,0.00,"3,750",1.93,60.10,-,"2,162",0.98
2010M01,96,2.13,"22,626",2.50,58.30,-,"3,037",-11.02,65,3.17,"18,876",2.61,59.20,-,"3,192",-10.66,31,0.00,"3,750",1.93,53.84,-,"2,192",-10.11
2010M02,96,3.23,"22,626",3.00,62.07,-,"3,286",10.65,65,3.17,"18,876",2.61,63.11,-,"3,450",11.69,31,3.33,"3,750",5.04,56.88,-,"2,374",7.62
2010M03,97,4.30,"23,012",4.76,72.91,-,"3,013",1.75,66,4.76,"19,262",4.71,73.15,-,"3,178",3.56,31,3.33,"3,750",5.04,71.73,-,"2,173",-4.56
2010M04,99,5.32,"23,954",8.52,72.49,-,"2,940",3.29,67,6.35,"19,918",8.27,72.84,-,"3,087",3.80,32,3.23,"4,036",9.76,70.69,-,"2,164",3.03
2010M05,99,5.32,"23,954",8.78,69.31,-,"2,981",1.34,67,6.35,"19,918",8.56,70.22,-,"3,140",2.17,32,3.23,"4,036",9.91,64.92,-,"2,156",-0.91
2010M06,101,7.45,"24,291",10.31,67.26,-,"3,095",-1.60,68,7.94,"20,014",9.08,68.54,-,"3,243",-2.02,33,6.45,"4,277",16.48,61.18,-,"2,304",2.92
2010M07,101,7.45,"24,291",10.31,68.30,-,"3,122",0.38,68,7.94,"20,014",9.08,69.41,-,"3,295",0.58,33,6.45,"4,277",16.48,63.28,-,"2,258",3.96
2010M08,102,7.37,"24,693",11.49,66.61,-,"3,162",6.05,68,7.94,"20,027",9.15,67.79,-,"3,339",6.66,34,6.25,"4,666",22.79,61.20,-,"2,261",6.01
2010M09,103,9.57,"24,853",12.47,61.73,-,"3,035",-1.69,69,9.52,"20,187",10.02,62.20,-,"3,196",-1.47,34,9.68,"4,666",24.43,59.59,-,"2,266",1.78
2010M10,105,10.53,"25,193",12.17,70.90,-,"3,098",0.18,69,7.81,"20,187",7.90,71.14,-,"3,250",0.01,36,16.13,"5,006",33.49,69.78,-,"2,377",7.48
2010M11,104,9.47,"24,985",11.25,74.74,-,"3,104",5.89,68,6.25,"19,979",6.79,74.55,-,"3,265",6.49,36,16.13,"5,006",33.49,75.63,-,"2,367",9.69
2010M12,104,9.47,"24,900",11.19,73.01,-,"3,051",6.81,68,6.25,"19,894",6.70,73.31,-,"3,189",7.12,36,16.13,"5,006",33.49,71.68,-,"2,418",11.85
2011M01,104,8.33,"25,225",11.49,60.90,-,"3,205",5.55,69,6.15,"20,259",7.33,61.40,-,"3,345",4.78,35,12.90,"4,966",32.43,58.67,-,"2,554",16.54
2011M02,104,8.33,"25,225",11.49,68.52,-,"3,395",3.31,69,6.15,"20,259",7.33,69.37,-,"3,557",3.09,35,12.90,"4,966",32.43,64.81,-,"2,638",11.12
2011M03,105,8.25,"25,291",9.90,66.08,-,"3,208",6.45,69,4.55,"20,259",5.18,66.87,-,"3,374",6.16,36,16.13,"5,032",34.19,62.79,-,"2,474",13.87
2011M04,105,6.06,"25,331",5.75,70.84,-,"3,169",7.76,69,2.99,"20,299",1.91,72.17,-,"3,334",7.99,36,12.50,"5,032",24.68,65.34,-,"2,417",11.67
2011M05,106,7.07,"25,529",6.58,62.25,-,"3,210",7.69,70,4.48,"20,497",2.91,63.71,-,"3,383",7.73,36,12.50,"5,032",24.68,56.21,-,"2,399",11.27
2011M06,106,4.95,"25,529",5.10,66.20,-,"3,283",6.06,70,2.94,"20,497",2.41,67.51,-,"3,461",6.70,36,9.09,"5,032",17.65,60.78,-,"2,463",6.90
2011M07,106,4.95,"25,529",5.10,67.46,-,"3,368",7.91,70,2.94,"20,497",2.41,69.78,-,"3,549",7.72,36,9.09,"5,032",17.65,57.95,-,"2,474",9.59
2011M08,106,3.92,"25,529",3.39,65.68,-,"3,325",5.16,70,2.94,"20,497",2.35,67.53,-,"3,515",5.28,36,5.88,"5,032",7.84,58.11,-,"2,419",6.96
2011M09,106,2.91,"25,448",2.39,65.08,-,"3,313",9.16,70,1.45,"20,497",1.54,66.73,-,"3,498",9.43,36,5.88,"4,951",6.11,58.28,-,"2,441",7.72
2011M10,106,0.95,"25,313",0.48,72.71,-,"3,304",6.68,70,1.45,"20,362",0.87,74.40,-,"3,473",6.86,36,0.00,"4,951",-1.10,65.54,-,"2,493",4.89
2011M11,106,1.92,"25,313",1.31,77.48,-,"3,297",6.21,70,2.94,"20,362",1.92,78.84,-,"3,467",6.18,36,0.00,"4,951",-1.10,71.74,-,"2,512",6.12
2011M12,106,1.92,"25,333",1.74,74.24,-,"3,275",7.35,70,2.94,"20,382",2.45,76.01,-,"3,405",6.76,36,0.00,"4,951",-1.10,66.86,-,"2,660",9.97
2012M01,106,1.92,"25,333",0.43,57.72,-,"3,800",18.56,70,1.45,"20,382",0.61,58.89,-,"3,993",19.37,36,2.86,"4,951",-0.30,52.87,-,"2,914",14.10
2012M02,106,1.92,"25,333",0.43,66.71,-,"3,355",-1.17,70,1.45,"20,382",0.61,67.83,-,"3,520",-1.02,36,2.86,"4,951",-0.30,62.09,-,"2,614",-0.91
2012M03,107,1.90,"25,437",0.58,74.34,-,"3,319",3.45,70,1.45,"20,382",0.61,74.75,-,"3,489",3.40,37,2.78,"5,055",0.46,72.65,-,"2,600",5.09
2012M04,107,1.90,"25,437",0.42,74.89,-,"3,284",3.64,70,1.45,"20,382",0.41,75.51,-,"3,457",3.67,37,2.78,"5,055",0.46,72.35,-,"2,554",5.67
2012M05,107,0.94,"25,424",-0.41,68.92,-,"3,267",1.78,70,0.00,"20,369",-0.62,69.75,-,"3,436",1.58,37,2.78,"5,055",0.46,65.56,-,"2,539",5.87
2012M06,107,0.94,"25,427",-0.40,70.33,-,"3,543",7.92,70,0.00,"20,369",-0.62,71.06,-,"3,735",7.92,37,2.78,"5,058",0.52,67.38,-,"2,724",10.62
2012M07,108,1.89,"25,541",0.05,69.42,-,"3,483",3.40,70,0.00,"20,363",-0.65,70.33,-,"3,682",3.74,38,5.56,"5,178",2.90,65.70,-,"2,616",5.73
2012M08,108,1.89,"25,539",0.04,67.82,-,"3,471",4.41,70,0.00,"20,361",-0.66,68.35,-,"3,684",4.79,38,5.56,"5,178",2.90,65.71,-,"2,580",6.66
