期間,就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%)
2004,"9,786",2.22,"1,376",-5.24,"1,598",-0.77,883,1.63,"2,709",3.30,"1,677",3.01,"1,542",10.90,"5,680",1.82,781,-4.54,"1,100",-0.87,555,1.02,"1,462",3.05,911,2.29,870,9.94,"4,106",2.80,595,-6.14,498,-0.56,328,2.68,"1,247",3.61,766,3.87,672,12.17,454,-9.68,48,-23.17,86,-17.58,42,-13.72,142,-10.59,70,-4.45,66,19.62,288,-11.50,33,-22.57,68,-19.19,29,-16.03,86,-10.36,39,-4.50,33,20.56,166,-6.35,14,-24.52,18,-11.00,13,-8.20,56,-10.93,31,-4.38,33,18.67,"7,520",0.32,"2,665",-0.42,928,-0.27,903,-0.97,"1,276",-2.90,558,-2.25,"1,190",8.93,"2,838",0.69,862,0.76,334,1.95,399,-0.77,403,-5.86,221,-4.39,618,7.83,"4,682",0.10,"1,804",-0.97,594,-1.48,504,-1.12,872,-1.47,337,-0.78,571,10.15
2005,"9,942",1.60,"1,300",-5.57,"1,581",-1.11,873,-1.14,"2,732",0.84,"1,724",2.80,"1,733",12.39,"5,753",1.28,739,-5.36,"1,089",-1.03,550,-0.91,"1,483",1.44,930,2.10,961,10.44,"4,190",2.04,560,-5.85,492,-1.29,323,-1.54,"1,248",0.14,794,3.64,772,14.92,428,-5.73,36,-24.30,76,-11.62,41,-2.80,131,-7.99,68,-3.43,77,15.92,259,-10.02,25,-25.30,58,-14.98,26,-10.56,76,-11.85,37,-4.33,38,13.96,169,1.70,11,-21.98,19,0.82,15,14.08,55,-2.09,30,-2.31,39,17.90,"7,578",0.78,"2,649",-0.62,932,0.42,901,-0.23,"1,274",-0.11,540,-3.26,"1,283",7.80,"2,878",1.44,861,-0.02,338,1.19,398,-0.16,404,0.25,207,-6.51,669,8.24,"4,700",0.38,"1,787",-0.90,594,-0.02,503,-0.28,870,-0.28,333,-1.13,613,7.34
2006,"10,111",1.70,"1,206",-7.22,"1,564",-1.03,865,-0.92,"2,766",1.25,"1,759",2.03,"1,951",12.57,"5,810",1.00,684,-7.44,"1,071",-1.64,539,-2.00,"1,497",0.91,950,2.16,"1,069",11.22,"4,301",2.66,522,-6.93,493,0.33,326,0.92,"1,269",1.65,809,1.88,882,14.24,411,-4.01,29,-21.05,63,-17.16,37,-8.24,128,-1.83,65,-4.42,89,15.99,245,-5.39,20,-20.18,48,-16.31,24,-5.40,73,-4.13,34,-8.78,46,21.86,166,-1.90,9,-22.98,15,-19.79,13,-13.08,56,1.33,31,0.94,43,10.26,"7,644",0.87,"2,635",-0.52,958,2.80,917,1.75,"1,264",-0.82,524,-2.79,"1,346",4.94,"2,936",2.02,874,1.50,356,5.17,408,2.45,407,0.77,193,-6.75,698,4.29,"4,708",0.17,"1,761",-1.49,602,1.46,509,1.19,856,-1.55,332,-0.33,648,5.64
2007,"10,294",1.81,"1,137",-5.73,"1,553",-0.73,886,2.47,"2,794",0.99,"1,764",0.26,"2,161",10.76,"5,868",1.00,638,-6.71,"1,061",-0.97,548,1.64,"1,504",0.48,952,0.19,"1,166",9.02,"4,426",2.90,498,-4.45,492,-0.22,338,3.84,"1,289",1.60,812,0.35,995,12.86,419,1.90,26,-7.80,63,0.01,37,-1.69,129,0.58,61,-5.25,102,14.97,248,1.02,18,-9.55,47,-1.88,24,-1.00,74,2.17,34,-1.45,51,9.69,171,3.20,8,-3.78,16,6.16,13,-2.97,55,-1.49,28,-9.48,52,20.67,"7,679",0.46,"2,603",-1.23,952,-0.62,906,-1.12,"1,262",-0.18,537,2.42,"1,419",5.44,"2,979",1.47,876,0.18,350,-1.67,402,-1.40,424,4.02,199,3.40,728,4.31,"4,700",-0.17,"1,727",-1.93,602,0.00,504,-0.88,838,-2.18,338,1.85,691,6.65
2008,"10,403",1.06,"1,063",-6.47,"1,497",-3.58,881,-0.59,"2,786",-0.26,"1,787",1.28,"2,389",10.55,"5,902",0.58,598,-6.26,"1,023",-3.58,541,-1.30,"1,509",0.31,955,0.29,"1,277",9.58,"4,501",1.70,465,-6.74,475,-3.56,340,0.57,"1,277",-0.93,832,2.45,"1,112",11.69,450,7.42,29,10.56,71,12.11,40,9.62,126,-2.26,64,3.73,120,17.35,271,9.27,20,12.65,54,14.46,27,10.60,74,-0.13,36,7.31,60,17.64,179,4.73,9,6.02,17,5.05,14,7.75,52,-5.13,28,-0.61,60,17.08,"7,770",1.18,"2,583",-0.73,962,0.99,900,-0.67,"1,290",2.23,538,0.16,"1,497",5.46,"3,028",1.64,873,-0.30,362,3.53,400,-0.59,435,2.68,200,0.44,758,4.03,"4,742",0.89,"1,710",-0.95,600,-0.48,500,-0.73,855,2.01,338,-0.01,739,6.97
2009,"10,279",-1.20,971,-8.66,"1,421",-5.08,859,-2.49,"2,692",-3.38,"1,767",-1.10,"2,568",7.51,"5,776",-2.13,545,-8.86,961,-6.02,525,-2.82,"1,459",-3.33,941,-1.44,"1,345",5.30,"4,502",0.03,426,-8.41,460,-3.06,333,-1.96,"1,234",-3.44,826,-0.71,"1,223",10.04,639,41.96,44,51.84,104,46.90,56,38.35,179,41.88,92,44.97,163,36.34,404,49.05,33,62.60,82,50.75,37,39.99,112,50.77,56,54.66,84,41.39,235,31.24,11,27.08,22,34.27,18,35.17,67,29.25,37,32.32,79,31.35,"7,937",2.15,"2,581",-0.09,974,1.34,918,1.92,"1,343",4.16,556,3.29,"1,565",4.55,"3,127",3.28,881,0.86,382,5.42,406,1.41,460,5.65,201,0.68,798,5.36,"4,810",1.43,"1,700",-0.57,593,-1.12,512,2.33,884,3.41,354,4.84,767,3.71
2010,"10,493",2.09,945,-2.62,"1,415",-0.42,871,1.41,"2,712",0.74,"1,798",1.75,"2,752",7.13,"5,880",1.79,532,-2.35,955,-0.67,528,0.58,"1,479",1.37,957,1.75,"1,428",6.18,"4,613",2.47,413,-2.98,461,0.10,343,2.71,"1,233",-0.02,841,1.75,"1,323",8.17,577,-9.66,32,-27.51,88,-15.77,50,-9.88,162,-9.56,81,-11.84,164,0.25,362,-10.25,25,-25.36,70,-15.16,33,-10.02,100,-10.14,48,-13.50,86,2.35,215,-8.65,7,-33.85,18,-18.03,17,-9.60,62,-8.61,33,-9.31,78,-1.97,"7,992",0.69,"2,528",-2.07,952,-2.34,941,2.60,"1,360",1.20,566,1.77,"1,646",5.18,"3,143",0.49,864,-1.92,378,-0.84,416,2.57,464,0.85,201,-0.37,820,2.74,"4,849",0.82,"1,664",-2.15,573,-3.30,525,2.63,896,1.38,365,2.99,826,7.73
2011,"10,709",2.06,910,-3.75,"1,402",-0.94,894,2.67,"2,751",1.43,"1,814",0.89,"2,938",6.78,"6,006",2.15,524,-1.68,966,1.18,537,1.58,"1,505",1.81,969,1.23,"1,506",5.43,"4,702",1.93,386,-6.41,436,-5.34,357,4.34,"1,245",0.97,845,0.51,"1,432",8.23,491,-14.86,24,-26.47,65,-25.83,45,-10.78,134,-17.45,64,-21.52,160,-2.11,297,-17.96,18,-25.16,52,-25.18,30,-9.71,79,-21.35,39,-19.64,79,-8.40,194,-9.64,5,-30.82,13,-28.29,14,-12.92,55,-11.11,25,-24.27,82,4.87,"8,053",0.76,"2,473",-2.16,955,0.39,953,1.24,"1,354",-0.38,584,3.21,"1,733",5.29,"3,152",0.29,845,-2.13,381,0.58,422,1.33,460,-0.78,201,0.23,843,2.81,"4,901",1.07,"1,628",-2.17,575,0.26,532,1.17,894,-0.17,383,4.86,890,7.76
2012,"10,860",1.41,885,-2.77,"1,383",-1.33,910,1.81,"2,764",0.48,"1,812",-0.13,"3,106",5.71,"6,083",1.28,517,-1.23,966,0.01,552,2.90,"1,526",1.37,967,-0.20,"1,555",3.24,"4,777",1.58,368,-4.85,417,-4.28,358,0.18,"1,238",-0.58,845,-0.05,"1,551",8.30,481,-2.15,21,-10.72,62,-5.10,42,-5.12,120,-10.38,60,-6.84,176,9.86,286,-3.80,16,-12.05,51,-2.15,30,-1.29,71,-10.39,33,-15.32,86,8.33,195,0.38,5,-5.95,11,-16.80,13,-13.09,49,-10.36,27,6.27,91,11.35,"8,096",0.52,"2,405",-2.74,943,-1.28,967,1.47,"1,355",0.02,607,3.96,"1,818",4.90,"3,161",0.30,840,-0.67,381,0.06,421,-0.03,460,0.06,212,5.42,847,0.45,"4,934",0.67,"1,566",-3.82,562,-2.17,546,2.66,894,0.00,395,3.19,971,9.11
2013,"10,967",0.99,855,-3.33,"1,371",-0.92,908,-0.21,"2,753",-0.41,"1,807",-0.25,"3,273",5.38,"6,116",0.54,508,-1.71,965,-0.09,555,0.54,"1,528",0.11,968,0.07,"1,592",2.37,"4,851",1.56,347,-5.61,405,-2.86,353,-1.37,"1,225",-1.05,839,-0.62,"1,681",8.40,478,-0.54,20,-4.74,61,-0.55,40,-4.68,117,-2.60,58,-2.46,182,3.00,286,0.12,15,-6.24,50,-2.01,26,-12.45,73,3.28,32,-1.27,90,4.87,192,-1.51,5,0.33,12,6.26,14,13.68,44,-11.08,26,-3.92,92,1.24,"8,142",0.57,"2,339",-2.76,914,-3.08,996,2.96,"1,363",0.58,624,2.88,"1,906",4.83,"3,190",0.92,847,0.92,379,-0.40,438,3.81,471,2.32,214,0.94,841,-0.70,"4,951",0.35,"1,492",-4.74,535,-4.90,558,2.30,892,-0.31,410,3.92,"1,065",9.65
